Scuola;Tipo corso;Corso di laurea - Sede;Classe di laurea;Donne N.;Donne voto medio;Donne durata media;Uomini N.;Uomini voto medio;Uomini durata media;Totale N.;Totale voto medio;Totale durata media
;Laurea Magistrale Ciclo Unico 5 anni;INGEGNERIA EDILE-ARCHITETTURA - PADOVA;LM-4 C.U.;24;107,6;6,3;25;105,5;6,5;49;106,5;6,4
Ingegneria Totale;;;;844;100,8;3,2;2.441;99,3;3,4;3.285;99,7;3,3
Medicina e Chirurgia;Corso di Laurea (DM 270);ASSISTENZA SANITARIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI ASSISTENTE SANITARIO) - CONEGLIANO (TV);L/SNT4;40;103,5;3,2;4;104,5;3,2;44;103,6;3,2
;;DIETISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI DIETISTA) - PADOVA;L/SNT3;18;108,8;3,4;2;106,5;3,2;20;108,6;3,4
;;EDUCAZIONE PROFESSIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI EDUCATORE PROFESSIONALE) - ROVIGO;L/SNT2;38;99,4;3,4;1;94,0;4,2;39;99,3;3,4
;;FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA) - CONEGLIANO (TV);L/SNT2;13;107,5;3,4;12;106,1;3,3;25;106,8;3,3
;;FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA) - PADOVA;L/SNT2;10;108,8;3,3;16;106,1;3,6;26;107,2;3,5
;;FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA) - SANTORSO;L/SNT2;14;107,8;3,3;4;104,5;3,3;18;107,1;3,3
;;FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA) - VENEZIA;L/SNT2;8;108,0;3,5;18;107,1;3,5;26;107,3;3,5
;;IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE) - TREVISO;L/SNT3;25;108,5;3,2;5;105,4;3,2;30;108,0;3,2
